,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
63,1874,1,2.7,1,10,0,8,0.9,166,7,13,964,1233,1246,8,1,2,0,0,1,1
64,1470,1,1.7,1,6,0,45,0.1,121,1,9,777,1090,3259,10,1,14,1,0,1,3
65,1702,1,2.3,0,12,1,52,0.5,145,2,15,1397,1491,2501,16,12,4,1,0,0,3
66,1492,1,1.5,0,5,0,11,0.9,85,3,7,1684,1746,2259,14,12,19,0,1,1,3
67,763,0,1.7,1,8,1,2,0.5,92,8,14,1028,1186,1050,6,4,8,1,1,0,0
68,1451,1,0.5,0,5,1,57,0.6,181,8,12,812,1456,3038,15,7,18,1,0,1,3
69,1242,1,2.4,0,8,0,28,0.2,166,4,9,315,1796,318,11,10,19,1,0,0,0
70,1285,0,2.4,0,1,1,51,1.0,140,7,2,475,500,2094,8,0,10,1,0,0,1
71,989,1,0.7,0,13,1,51,0.4,132,3,15,670,804,2349,10,1,20,1,0,1,1
72,1044,0,1.8,0,4,1,12,0.7,104,6,5,1230,1263,1794,18,7,19,1,1,1,1
73,922,1,0.7,0,0,1,47,1.0,157,8,14,1295,1808,1464,17,4,12,1,0,1,1
74,1936,0,2.1,1,10,1,46,0.6,104,3,20,667,1036,2552,14,7,13,1,0,0,2
75,1991,0,2.2,1,1,1,42,0.7,82,1,13,366,613,722,6,5,10,1,1,0,0
76,636,0,0.5,0,8,1,28,0.9,152,2,15,148,742,2927,15,6,3,1,0,0,2
77,1945,0,1.6,1,0,1,57,0.3,195,4,1,743,1753,732,14,1,14,1,1,0,1
78,600,1,1.8,0,9,1,6,0.8,199,2,15,486,1032,3495,17,4,7,1,1,0,2
79,1494,0,1.9,0,2,1,47,0.4,129,2,9,207,1177,3202,13,1,14,1,0,0,3
80,1602,0,0.6,0,12,0,58,0.4,170,1,13,1259,1746,3622,17,2,17,0,1,1,3
81,1751,0,2.5,0,1,0,4,0.6,146,8,9,1499,1952,1155,19,14,12,0,1,1,1
82,513,0,1.9,0,8,0,27,0.4,174,8,13,282,710,3400,16,6,13,0,1,1,2
83,832,0,1.6,1,1,1,34,0.3,108,5,5,311,1294,447,15,13,12,1,1,0,0
84,595,0,0.9,1,7,1,23,0.1,121,3,17,441,810,3752,10,2,18,1,1,0,3
85,1125,1,2.7,0,10,0,23,0.4,117,1,14,774,939,1641,14,8,12,1,1,0,1
86,1897,0,3.0,0,1,1,21,0.5,192,8,2,1311,1935,273,17,6,3,1,1,1,0
87,987,0,2.0,1,1,0,20,0.8,192,7,3,412,565,1454,11,3,8,1,1,0,0
88,1417,1,2.7,0,2,1,56,0.9,114,6,4,494,1649,590,11,3,6,1,0,1,0
89,748,0,1.4,0,0,0,25,1.0,110,7,14,88,709,1974,17,5,13,0,1,1,1
90,584,1,1.8,0,0,1,19,0.3,168,3,0,1123,1622,465,12,8,4,1,1,0,0
91,728,0,2.7,1,0,0,25,0.2,88,4,1,526,1529,2039,5,1,12,1,1,1,1
92,1988,1,0.5,0,0,1,16,0.1,94,8,1,153,696,3144,16,2,14,1,0,0,3
93,1855,0,0.5,0,5,0,32,0.6,187,8,18,267,1161,3933,7,0,7,1,0,1,3
94,1889,0,2.8,0,5,1,31,1.0,132,1,10,170,1106,3672,5,1,3,1,1,1,3
95,1270,1,2.3,0,0,0,58,0.5,104,5,1,1512,1716,3299,13,4,16,0,0,1,3
96,1245,1,0.6,0,2,0,30,0.7,105,5,3,330,1434,2676,17,8,7,1,0,0,2
97,1820,1,1.4,0,5,0,51,0.9,163,7,10,202,1884,2481,11,9,11,0,0,0,2
98,777,1,2.6,0,3,0,30,0.9,148,5,17,189,1143,3886,14,10,7,1,0,0,3
99,1723,1,1.1,1,1,0,42,1.0,164,8,14,202,1791,3587,10,5,3,1,0,0,3
100,516,1,0.7,1,1,0,30,0.9,138,1,12,126,698,3731,17,13,15,0,0,0,2
101,1176,1,2.1,0,2,1,62,0.5,168,2,10,674,1455,1534,6,2,17,1,0,0,1
102,1178,1,1.3,0,0,0,49,0.6,101,5,0,579,596,2511,6,3,17,0,0,0,2
103,709,0,1.9,0,11,1,13,0.1,81,8,15,570,1422,467,17,11,5,1,1,1,0
104,518,1,2.4,0,0,1,62,0.6,128,6,0,489,710,2514,16,12,7,1,1,1,1
105,989,1,1.6,1,11,1,24,0.6,156,8,17,614,679,2819,16,13,5,1,0,1,2
106,815,0,2.0,1,4,0,51,0.3,85,6,12,982,1291,3469,5,4,6,1,0,1,3
107,911,0,1.4,1,3,0,14,0.7,199,4,4,1563,1692,2933,16,3,11,0,1,0,3
108,852,1,1.6,1,6,1,54,0.4,147,5,7,538,730,1275,13,7,12,1,0,1,0
109,775,1,2.5,1,1,1,10,0.1,185,7,14,444,1555,1719,19,3,18,1,1,1,1
110,1414,0,2.0,1,2,0,54,0.8,99,7,3,262,829,3799,17,7,7,1,0,1,3
111,1981,1,1.9,1,13,0,45,0.3,175,6,18,193,1234,1380,10,1,13,0,1,0,1
112,1183,1,0.5,1,3,1,48,0.1,120,8,12,268,1010,1152,8,3,3,1,0,0,0
113,704,1,2.7,0,8,1,29,0.2,80,1,10,1108,1509,1122,9,3,10,1,1,1,0
114,1944,0,0.6,1,9,1,59,0.2,132,7,10,634,1079,769,19,13,3,1,0,1,0
115,623,1,0.9,0,1,1,3,0.1,102,8,7,1749,1781,3537,16,13,3,1,0,1,3
116,1424,0,0.5,1,16,1,23,0.6,80,4,18,1399,1663,1053,14,11,16,1,1,1,1
117,590,1,1.2,1,0,0,32,0.4,141,6,1,227,509,1817,10,0,6,0,1,0,0
118,1266,0,1.9,1,0,1,7,0.2,184,3,12,346,1468,2532,10,5,4,1,1,1,2
119,740,0,1.8,0,1,0,12,0.2,123,1,11,935,1147,1105,7,6,19,0,1,1,0
120,1483,0,2.1,0,1,1,54,0.2,176,7,2,531,758,1851,15,13,2,1,1,0,1
121,1606,0,1.4,0,3,0,57,0.1,154,4,4,1127,1924,3454,13,8,20,0,0,1,3
122,1773,1,2.5,0,16,1,32,0.6,170,6,18,1215,1472,3566,17,6,13,1,0,1,3
123,730,1,1.3,1,6,0,6,0.9,167,7,10,1096,1155,2812,10,1,17,0,0,0,2
124,1567,0,0.5,1,3,0,22,0.5,119,6,6,545,1621,2312,9,1,18,1,0,0,2
125,1776,0,2.2,0,2,0,20,0.9,82,6,16,1563,1803,2671,15,10,12,0,1,1,3
126,919,0,0.5,1,11,0,13,0.3,159,1,15,275,570,1028,8,4,17,1,0,0,0
127,946,1,1.4,0,9,0,26,0.1,186,6,10,273,891,1637,7,3,6,1,0,1,0
128,1928,1,1.8,0,9,1,19,1.0,187,3,20,691,1580,3777,7,2,13,1,1,1,3
129,648,1,0.5,1,9,1,54,0.4,109,5,20,1153,1817,3124,5,0,13,1,0,0,3
130,1231,0,0.7,1,2,0,7,0.9,113,1,7,43,1663,3119,9,4,15,1,1,0,3
131,1038,0,1.2,0,3,0,43,0.7,141,1,5,4,638,3709,11,0,12,1,1,1,3
132,857,1,2.0,1,3,0,17,0.2,195,7,9,157,948,3100,17,5,13,1,1,0,2
133,1168,0,1.3,0,9,0,61,0.1,90,8,10,159,1578,3173,9,4,17,0,0,1,3
134,1766,1,0.5,1,1,0,16,0.6,141,5,7,125,1227,3314,9,7,17,0,0,1,3
135,731,1,0.5,1,0,1,28,0.5,130,8,0,424,1032,1774,12,8,10,1,0,0,1
136,1900,1,0.5,1,0,1,55,0.9,171,1,1,934,1241,3917,15,5,18,1,0,1,3
137,1179,1,0.8,0,1,0,5,0.9,154,5,17,913,1429,543,8,7,18,0,0,1,0
138,1318,1,2.4,0,1,1,45,0.1,136,2,7,183,661,755,18,3,9,1,0,1,0
139,1646,0,2.5,0,3,1,25,0.6,200,2,5,211,1608,686,8,6,11,1,1,0,0
140,1237,0,0.5,0,2,0,27,0.1,87,8,5,274,603,2454,14,0,8,1,1,1,2
141,994,1,2.8,1,0,0,56,0.5,173,3,3,491,530,3190,5,2,20,1,1,1,2
142,825,0,2.9,1,0,0,34,0.8,99,8,17,1471,1866,2915,8,2,10,1,1,0,3
143,1528,0,2.4,0,2,0,37,0.2,156,8,3,306,564,733,15,0,14,1,1,0,0
144,1562,0,0.5,1,1,1,20,0.8,172,8,10,678,1676,3465,16,11,6,1,1,0,3
145,1166,0,1.5,1,0,1,43,0.8,80,4,1,205,603,3993,7,1,7,1,1,0,3
146,532,1,0.8,1,3,0,8,0.1,193,5,10,1213,1354,728,13,5,8,1,1,0,0
147,1980,0,0.5,1,2,1,29,0.8,177,1,13,312,1910,3865,12,10,18,1,0,0,3
148,1450,0,2.1,0,1,0,31,0.6,114,5,4,1573,1639,794,11,5,9,0,1,1,1
149,1320,0,2.1,1,0,1,41,0.6,144,7,2,123,1229,542,11,1,14,1,1,0,0
150,574,1,2.0,1,0,1,26,0.5,118,6,2,382,1364,1303,8,4,2,1,0,1,0
151,1974,0,1.0,0,4,0,24,0.3,80,7,13,250,545,861,7,4,6,1,0,1,0
152,1720,0,1.6,0,18,1,2,0.8,188,5,20,334,896,2522,10,5,2,1,0,1,2
153,586,1,0.6,0,16,1,42,0.3,121,7,17,785,1118,1869,12,2,7,1,1,1,1
154,1563,0,1.7,1,10,0,16,0.1,151,7,13,410,572,3922,11,1,8,0,0,1,3
155,1234,0,1.7,1,8,0,17,0.9,174,6,15,209,725,3351,12,9,19,0,0,1,2
156,1571,0,1.4,0,0,1,19,0.1,100,6,1,713,1398,666,12,10,13,1,1,0,0
157,1083,1,2.9,1,1,1,39,1.0,173,8,2,523,542,3248,8,6,6,1,0,1,2
158,1484,0,3.0,0,3,0,12,0.6,134,3,5,916,969,1457,14,4,20,1,1,0,1
159,723,1,1.9,0,4,0,30,0.3,102,1,7,1467,1901,2339,19,9,17,0,1,1,2
160,1029,1,1.9,1,5,1,5,0.2,171,5,8,264,956,582,15,7,4,1,1,1,0
161,1709,1,2.1,0,1,0,13,1.0,156,2,2,974,1385,3283,17,1,15,1,0,0,3
162,1701,1,0.5,0,13,1,46,0.9,115,2,15,364,828,3717,11,0,10,1,1,0,3
163,869,0,1.3,1,3,0,34,0.1,104,2,4,478,539,3864,13,3,11,1,0,0,3
164,1273,0,1.0,0,3,1,48,0.4,99,4,15,490,886,1767,18,15,11,1,1,0,1
165,1271,0,1.5,1,0,0,2,0.9,161,1,1,1260,1788,892,15,13,20,0,1,0,1
166,507,1,0.5,1,1,0,32,0.5,141,7,11,936,1398,1702,17,0,5,1,1,1,1
167,846,1,2.6,0,0,1,58,0.1,123,4,15,1140,1983,2248,16,8,13,1,0,0,2
168,1830,1,1.0,0,7,1,47,0.3,117,1,11,1191,1882,3362,13,10,11,1,0,0,3
169,752,0,0.5,1,1,0,48,0.7,87,7,13,164,728,3860,7,5,16,0,0,0,3
170,1152,1,2.1,1,0,1,26,0.3,82,2,0,1304,1673,3284,15,2,8,1,0,1,3
171,659,0,0.5,1,7,1,5,0.3,169,8,10,659,730,2190,16,10,16,1,1,0,1
172,930,1,1.3,1,1,1,14,0.4,97,6,10,77,1025,2457,11,7,17,1,1,0,1
173,1348,0,2.0,0,18,0,52,0.3,98,3,20,1869,1942,955,18,11,7,1,1,1,1
174,627,0,1.8,0,2,0,20,0.8,142,3,8,211,507,896,17,6,14,0,0,0,0
175,1349,0,2.0,1,15,0,62,0.3,114,5,16,592,772,2756,11,3,4,1,0,0,2
176,1624,1,2.6,1,0,0,58,1.0,200,3,11,1530,1744,1251,13,4,18,0,1,1,1
177,514,1,1.6,0,7,1,37,0.1,172,1,9,956,1723,3392,12,8,5,1,1,1,3
178,1319,1,0.9,0,3,1,41,0.9,107,1,18,85,1152,2227,18,5,3,1,1,1,1
179,1379,1,1.5,0,6,1,9,0.8,118,8,13,98,755,1693,11,4,18,1,0,1,1
180,658,1,2.7,0,0,1,12,0.9,103,7,3,1156,1750,3587,14,11,20,1,0,0,3
181,706,0,0.5,0,13,1,31,0.1,108,3,19,543,938,2419,8,7,4,1,0,1,1
182,543,1,0.5,1,4,1,60,0.7,132,5,7,693,1031,933,14,0,5,1,1,0,0
183,1188,1,1.4,1,0,1,9,0.6,114,2,0,1339,1558,2896,12,11,16,1,0,1,3
184,1182,0,0.5,0,7,1,8,0.5,138,8,16,275,986,2563,19,17,19,1,0,0,2
185,1272,1,2.5,1,0,0,22,0.9,133,6,8,605,669,2235,19,4,4,1,0,0,1
186,1864,0,1.4,0,8,1,46,0.7,178,1,12,168,981,2686,11,7,18,1,1,1,2
187,1043,0,2.7,0,3,0,29,0.2,83,8,17,887,893,1183,5,3,8,1,0,0,0
188,1977,0,1.3,1,2,0,31,0.4,173,8,6,1145,1356,2641,8,2,7,0,0,0,3
189,1584,1,1.3,0,6,0,41,0.6,135,4,15,160,1291,1561,10,5,17,0,0,1,1
190,537,1,2.0,0,1,1,55,0.3,103,7,2,1041,1430,2029,10,5,12,1,1,1,1
191,1559,1,1.6,1,6,1,6,0.5,162,6,17,179,1559,3352,9,1,3,1,1,1,3
192,1537,1,2.5,0,4,1,43,0.3,137,1,5,839,1131,3685,18,17,17,1,1,1,3
193,1780,1,0.5,0,6,0,27,0.1,190,4,11,1331,1463,2776,19,17,14,1,1,1,3
194,1911,1,2.0,0,7,1,64,0.6,163,8,8,1795,1958,3872,9,8,11,1,1,0,3
195,605,0,1.5,0,9,1,18,0.9,162,2,14,329,656,2301,15,9,8,1,0,0,1
196,536,1,1.4,0,0,1,53,0.7,135,3,0,547,705,1211,15,10,7,1,0,1,0
197,1262,0,1.8,1,12,0,34,0.1,149,5,16,223,737,3248,13,3,4,0,1,1,2
198,812,0,0.5,1,1,0,64,1.0,106,4,7,35,1309,3102,6,0,2,0,0,0,2
199,1036,1,2.4,0,0,0,39,0.2,119,7,3,373,926,2101,10,7,2,0,1,0,1
200,768,0,0.5,1,0,0,19,0.9,159,2,1,637,991,1145,19,1,7,0,0,1,0
201,1122,0,0.5,0,0,1,40,0.3,156,7,14,675,1163,1456,9,3,20,1,1,0,1
202,1358,0,2.5,1,0,0,20,0.6,135,7,0,1485,1655,3406,5,1,11,0,0,1,3
203,808,0,0.5,1,0,0,8,0.1,192,4,1,618,1891,3762,15,9,12,1,0,1,3
204,1063,1,1.1,0,0,1,26,0.8,101,5,2,1208,1232,3809,17,16,5,1,0,1,3
205,879,1,2.5,0,11,1,14,0.7,83,6,15,403,1105,349,16,10,2,1,0,1,0
206,875,0,0.7,0,2,0,23,0.1,110,7,7,300,1316,756,14,5,6,0,0,0,0
207,1656,1,1.6,1,0,0,16,1.0,117,7,2,320,899,2856,14,3,20,1,1,1,2
208,1379,1,2.1,1,14,1,63,1.0,83,1,17,207,1370,651,9,6,7,1,1,0,0
209,1090,0,1.3,1,5,0,27,0.1,91,4,16,1638,1910,1352,5,1,11,0,1,0,1
210,1673,0,2.8,1,7,0,9,0.1,187,3,10,65,734,3669,9,1,10,1,0,1,3
211,1082,0,2.3,1,11,0,2,1.0,101,4,20,398,724,2177,12,2,17,0,1,0,1
212,1753,0,0.5,1,0,1,31,0.1,134,1,18,1590,1926,1324,17,0,17,1,0,1,2
213,802,0,0.5,1,3,0,43,0.6,153,5,6,527,734,3063,17,13,4,0,1,0,2
214,571,0,0.6,0,1,1,43,0.5,141,3,8,224,783,2587,7,5,18,1,0,0,1
215,742,1,0.5,0,0,1,36,0.7,139,3,1,1161,1288,292,8,0,6,1,1,1,0
216,1163,1,2.1,1,0,1,19,0.9,132,2,1,728,818,2940,13,0,15,1,0,1,2
217,1359,0,0.6,0,4,0,59,0.3,86,2,6,1692,1902,3142,19,3,17,0,1,1,3
218,1266,0,0.5,0,0,1,5,0.1,95,6,9,1365,1698,1687,11,0,18,1,0,0,2
219,625,0,2.7,1,2,0,42,0.8,138,8,3,203,1771,2929,10,4,17,1,0,0,2
220,1973,1,2.4,1,6,0,46,0.1,193,4,10,699,851,639,6,0,3,0,0,1,0
221,1825,0,1.1,1,13,1,17,0.1,157,4,18,1621,1773,3130,12,4,2,1,0,1,3
222,959,1,1.7,0,15,0,13,0.4,155,4,16,87,736,3328,10,9,10,1,1,1,2
223,1339,1,0.5,1,10,1,21,0.5,80,4,11,833,1441,867,8,3,3,1,1,0,0
224,1702,1,0.5,1,8,0,2,0.6,185,6,19,921,1351,435,12,9,3,0,1,1,0
225,793,1,2.8,1,1,1,64,0.4,179,4,2,818,1006,2296,12,0,5,1,1,0,1
226,869,0,1.9,0,0,0,2,0.6,197,7,3,519,533,3249,19,0,12,0,0,1,2
227,1936,1,1.9,1,13,1,34,0.2,182,7,14,591,1089,1671,6,1,9,1,0,1,1
228,1403,0,2.7,0,2,1,26,0.1,164,5,3,461,1251,3371,13,9,9,1,0,1,3
229,712,1,0.5,1,3,1,35,0.2,84,2,10,558,1208,2190,16,12,4,1,1,1,1
230,504,1,0.5,1,2,1,46,0.9,172,5,14,280,1795,2085,13,5,8,1,0,0,1
231,794,1,0.5,1,0,1,2,0.8,106,6,14,1222,1890,668,13,4,19,1,1,0,0
232,1589,0,2.6,0,9,0,46,0.4,84,3,16,618,940,2373,11,9,20,1,1,0,2
233,1289,0,0.9,0,10,1,25,1.0,178,6,12,765,899,1043,6,2,11,1,1,0,0
234,1696,0,1.7,0,1,0,13,0.9,97,3,2,179,772,523,5,0,4,0,1,1,0
235,835,0,1.1,1,2,0,7,0.2,101,4,7,323,1604,1181,13,5,15,1,1,1,0
236,1185,0,1.9,0,0,0,31,0.4,152,8,7,837,1642,2447,16,2,3,1,1,1,2
237,1747,1,0.9,0,6,1,48,0.7,94,3,19,947,1131,2362,17,2,19,1,1,0,2
238,869,1,1.0,0,7,1,57,0.6,118,1,15,1243,1584,2727,13,3,8,1,0,0,2
239,1837,0,1.0,1,5,1,12,0.9,103,8,6,1420,1539,2294,8,7,20,1,0,1,3
240,1600,0,0.5,0,1,1,16,0.3,94,4,16,1315,1710,2073,9,5,4,1,1,0,2
241,1225,0,0.7,1,0,1,2,0.6,138,7,1,217,1101,2675,12,11,15,1,1,0,2
242,1976,1,0.7,1,4,0,32,0.8,171,2,7,1301,1922,3699,17,11,13,0,1,1,3
243,768,1,0.9,0,16,1,56,0.1,113,1,20,418,515,952,19,3,16,1,0,1,0
244,1379,0,1.1,0,5,1,36,0.8,200,2,7,538,1376,3426,5,4,17,1,1,1,3
245,634,1,0.8,0,5,0,41,0.2,192,1,12,1362,1853,3242,18,11,4,1,0,1,3
246,809,0,0.8,0,10,0,21,0.9,91,7,19,1453,1726,1274,18,7,3,0,0,0,1
247,1101,0,1.8,0,0,0,31,0.2,148,2,7,387,1269,2196,12,6,19,0,1,1,1
248,1842,1,2.2,1,7,0,56,0.4,179,4,10,783,1227,3721,16,11,4,0,1,1,3
249,1156,1,2.7,1,1,1,30,0.9,173,3,16,945,1913,2735,16,15,13,1,0,1,2
250,833,1,0.6,1,0,1,27,0.3,145,4,2,649,1290,586,19,8,19,1,0,1,0
251,1027,0,0.5,0,2,1,64,0.9,103,2,7,1698,1747,3786,17,12,12,1,0,0,3
252,1154,0,1.2,1,0,1,49,0.2,181,8,2,541,1499,978,5,3,7,1,0,1,0
253,1504,0,1.9,1,7,1,25,0.3,152,4,9,395,1853,1788,13,11,13,1,0,1,1
254,1596,0,2.9,1,7,0,7,0.7,149,2,9,169,1190,2493,14,12,13,1,1,1,2
255,1799,1,0.5,0,0,0,49,0.4,107,4,2,632,1383,720,12,2,11,1,1,1,0
256,765,0,2.9,0,0,1,18,0.1,153,7,0,6,793,1066,11,1,16,1,1,0,0
257,1269,1,2.8,1,16,0,41,1.0,180,8,17,406,1036,2341,10,9,16,0,0,1,2
258,1510,1,2.5,1,11,0,47,0.7,138,2,13,118,1170,887,18,6,5,0,0,0,0
259,1150,1,2.7,0,0,0,39,0.4,151,8,1,397,800,999,6,2,11,1,1,0,0
260,603,1,0.7,1,0,1,64,0.2,156,6,0,1842,1968,604,10,4,8,1,1,1,0
261,1929,1,0.5,1,0,1,19,1.0,163,6,2,349,1051,1913,12,7,6,1,1,0,1
262,539,1,0.6,1,9,0,21,0.1,145,7,14,551,599,3597,14,5,9,0,0,0,2
263,660,0,0.5,0,5,1,40,0.5,111,2,10,262,1178,588,6,5,18,1,1,1,0
264,1373,1,1.9,1,1,1,29,0.9,141,6,12,1220,1348,2752,15,2,7,1,1,1,3
265,1732,1,1.1,0,4,1,12,0.8,119,8,9,824,881,1308,16,7,11,1,0,1,1
266,618,0,0.6,0,8,0,16,0.2,143,1,14,1105,1602,2262,16,15,4,0,1,0,2
267,753,1,0.5,0,11,1,48,0.1,121,8,20,606,1316,3484,11,10,16,1,0,0,3
268,775,1,2.6,0,0,0,30,0.4,189,7,10,561,1510,2523,17,16,9,1,0,1,2
269,1144,1,1.5,1,0,0,21,0.4,189,1,11,159,724,3252,16,0,8,0,0,0,2
270,1382,1,0.5,0,7,1,13,0.3,199,2,18,612,719,2073,16,7,9,1,0,1,1
271,1512,0,0.6,1,1,1,54,0.4,134,3,2,220,1838,3366,7,3,11,1,0,1,3
272,1745,0,1.5,1,4,1,57,0.1,159,3,16,1164,1908,2885,13,11,5,1,1,1,3
273,733,0,2.1,0,5,1,7,0.2,174,7,10,445,1409,1403,15,8,2,1,1,0,0
